shipment_id,origin,destination,carrier,shipment_date,expected_delivery,actual_delivery,status,priority,delay_hours,reason,shipment_mode,cargo_type,weight_kg,distance_km,weather_condition,customs_status,port_congestion,carrier_performance_score,customer_impact,exception_type
SHP-1297,Chennai,Amsterdam,BlueDart,2026-07-20,2026-07-22,2026-07-23,Delayed,High,30,Mechanical issue,Sea,Food,74.7,4417,Fog,Under Review,High,63.7,High,DELIVERY_DELAY
SHP-1298,Ahmedabad,Frankfurt,Carrier-X,2026-05-31,2026-06-04,2026-06-04,Delayed,Normal,8,Documentation issue,Road,Chemicals,3678.05,2255,Rain,Cleared,Low,71.2,Medium,MINOR_DELAY
SHP-1299,Pune,New York,UPS,2026-02-11,2026-02-18,2026-02-18,Delivered,Normal,0,On schedule,Road,Pharmaceuticals,2336.99,2836,Clear,Cleared,Low,56.7,None,NONE
SHP-1300,Kolkata,Paris,DHL,2026-07-22,2026-07-29,2026-07-29,Delivered,Normal,0,On schedule,Road,Automotive,2631.72,3312,Clear,Cleared,Low,77.4,None,NONE
SHP-1301,Bengaluru,Tokyo,UPS,2026-03-31,2026-04-07,2026-04-07,Delivered,Normal,0,On schedule,Rail,Electronics,1662.02,5109,Clear,Cleared,Low,64.4,None,NONE
SHP-1302,Ahmedabad,Amsterdam,Carrier-X,2026-06-21,2026-06-26,2026-06-26,Delivered,Normal,0,On schedule,Air,Electronics,4794.9,11482,Clear,Cleared,Low,93.1,None,NONE
SHP-1303,Pune,Singapore,BlueDart,2026-07-05,2026-07-11,2026-07-13,Delayed,Normal,57,Carrier delay,Road,Food,4492.43,3454,Clear,Cleared,Medium,68.8,High,CARRIER_DELAY
SHP-1304,Delhi,Singapore,FedEx,2026-01-17,2026-01-25,2026-01-25,Delayed,Normal,8,Weather disruption,Air,Machinery,3236.34,1481,Fog,Cleared,Low,87.1,Medium,MINOR_DELAY
SHP-1305,Bengaluru,Dubai,BlueDart,2026-01-23,2026-01-29,2026-01-29,Delivered,Low,0,On schedule,Road,Electronics,2794.84,9720,Clear,Cleared,Low,90.3,None,NONE
SHP-1306,Hyderabad,Tokyo,BlueDart,2026-04-14,2026-04-17,2026-04-17,Delivered,Normal,0,On schedule,Rail,Machinery,2678.82,10809,Clear,Cleared,Low,86.0,None,NONE
SHP-1307,Delhi,Paris,DHL,2026-05-09,2026-05-17,2026-05-18,Delayed,Normal,31,Customs clearance,Air,Textiles,1981.62,11125,Extreme Heat,Pending,Medium,56.3,Medium,CUSTOMS_DELAY
SHP-1308,Bengaluru,Amsterdam,FedEx,2026-04-11,2026-04-18,2026-04-19,Delayed,High,26,Weather disruption,Sea,Machinery,4787.38,482,Fog,Cleared,Medium,78.8,Medium,WEATHER_DISRUPTION
SHP-1309,Bengaluru,Singapore,DHL,2026-06-02,2026-06-12,2026-06-12,Delayed,Normal,4,Documentation issue,Air,Food,720.85,3314,Extreme Heat,Under Review,Low,64.5,Low,MINOR_DELAY
SHP-1310,Hyderabad,Frankfurt,DHL,2026-07-24,2026-08-03,2026-08-03,Delivered,Normal,0,On schedule,Sea,Machinery,2311.71,9305,Clear,Cleared,Low,58.1,None,NONE
SHP-1311,Delhi,New York,DHL,2026-05-29,2026-06-02,2026-06-02,Delivered,Normal,0,On schedule,Sea,Machinery,3359.76,4142,Clear,Cleared,Low,59.3,None,NONE
SHP-1312,Delhi,Frankfurt,Maersk,2026-03-26,2026-03-30,2026-03-30,Delivered,Normal,0,On schedule,Rail,Automotive,2832.1,6271,Clear,Cleared,Low,89.7,None,NONE
SHP-1313,Pune,London,DHL,2026-07-21,2026-07-30,2026-08-02,Delayed,Normal,79,Mechanical issue,Road,Pharmaceuticals,2232.34,12993,Extreme Heat,Cleared,High,68.1,High,DELIVERY_DELAY
SHP-1314,Delhi,London,Carrier-X,2026-03-13,2026-03-23,2026-03-23,Delivered,High,0,On schedule,Air,Chemicals,990.2,12318,Clear,Cleared,Low,93.1,None,NONE
SHP-1315,Delhi,Singapore,DHL,2026-05-29,2026-06-08,2026-06-09,Delayed,Normal,25,Customs clearance,Air,Chemicals,4470.99,9142,Storm,Pending,High,75.3,Medium,CUSTOMS_DELAY
SHP-1316,Bengaluru,Toronto,BlueDart,2026-05-31,2026-06-09,2026-06-09,Delivered,High,0,On schedule,Sea,Chemicals,2510.6,1783,Clear,Cleared,Low,72.1,None,NONE
SHP-1317,Mumbai,Frankfurt,UPS,2026-05-12,2026-05-16,2026-05-16,Delivered,Normal,0,On schedule,Sea,Chemicals,3682.24,8221,Clear,Cleared,Low,95.4,None,NONE
SHP-1318,Mumbai,Frankfurt,BlueDart,2026-03-09,2026-03-14,2026-03-14,Delivered,Normal,0,On schedule,Sea,Electronics,2594.25,13267,Clear,Cleared,Low,70.5,None,NONE
SHP-1319,Ahmedabad,Sydney,DHL,2026-03-24,2026-04-03,2026-04-07,Exception,Normal,105,Damaged cargo,Air,Machinery,2855.1,6471,Storm,Cleared,Medium,83.1,High,DAMAGED_CARGO
SHP-1320,Kolkata,Paris,Carrier-X,2026-03-06,2026-03-15,2026-03-18,Delayed,Normal,76,Carrier delay,Air,Food,3965.36,14835,Storm,Cleared,Medium,81.0,High,CARRIER_DELAY
SHP-1321,Bengaluru,Sydney,FedEx,2026-05-12,2026-05-16,2026-05-16,Delivered,Normal,0,On schedule,Sea,Electronics,795.21,10163,Clear,Cleared,Low,85.8,None,NONE
SHP-1322,Delhi,Frankfurt,BlueDart,2026-01-30,2026-02-04,2026-02-04,Delivered,Normal,0,On schedule,Road,Machinery,2958.05,10904,Clear,Cleared,Low,90.8,None,NONE
SHP-1323,Mumbai,Frankfurt,DHL,2026-06-01,2026-06-05,2026-06-05,Delayed,Normal,3,Weather disruption,Sea,Food,2588.04,6942,Storm,Cleared,Low,80.8,Low,MINOR_DELAY
SHP-1324,Mumbai,New York,DHL,2026-06-05,2026-06-09,2026-06-09,Delayed,Critical,18,Weather disruption,Sea,Automotive,3975.13,13742,Fog,Cleared,Medium,88.0,Medium,WEATHER_DISRUPTION
SHP-1325,Hyderabad,London,Carrier-X,2026-06-02,2026-06-10,2026-06-10,Delivered,Normal,0,On schedule,Road,Automotive,669.74,571,Clear,Cleared,Low,63.7,None,NONE
SHP-1326,Pune,London,UPS,2026-05-02,2026-05-12,2026-05-12,Delayed,High,19,Weather disruption,Air,Pharmaceuticals,4139.33,14995,Rain,Cleared,Medium,95.3,Low,MINOR_DELAY
SHP-1327,Pune,Amsterdam,BlueDart,2026-01-12,2026-01-21,2026-01-21,Delivered,High,0,On schedule,Road,Chemicals,3949.88,6546,Clear,Cleared,Low,70.1,None,NONE
SHP-1328,Delhi,Tokyo,FedEx,2026-07-16,2026-07-18,2026-07-19,Delayed,Normal,26,Weather disruption,Road,Automotive,3548.65,13233,Storm,Cleared,Medium,55.3,High,WEATHER_DISRUPTION
SHP-1329,Delhi,Amsterdam,DHL,2026-02-22,2026-03-01,2026-03-01,Delivered,High,0,On schedule,Rail,Machinery,541.85,7280,Clear,Cleared,Low,83.0,None,NONE
SHP-1330,Hyderabad,New York,UPS,2026-04-04,2026-04-14,2026-04-17,Exception,Normal,74,Missorted shipment,Rail,Food,2417.51,6365,Fog,Cleared,Medium,79.0,High,MISROUTED_SHIPMENT
SHP-1331,Ahmedabad,New York,Maersk,2026-06-30,2026-07-03,2026-07-03,Delivered,Normal,0,On schedule,Road,Chemicals,3741.59,7617,Clear,Cleared,Low,88.7,None,NONE
SHP-1332,Bengaluru,Singapore,FedEx,2026-03-28,2026-03-31,2026-03-31,Delayed,High,23,Weather disruption,Rail,Chemicals,4118.04,8027,Clear,Cleared,Medium,94.8,Low,MINOR_DELAY
SHP-1333,Pune,Singapore,DHL,2026-04-05,2026-04-13,2026-04-13,Delivered,Low,0,On schedule,Road,Pharmaceuticals,4654.12,6864,Clear,Cleared,Low,81.4,None,NONE
SHP-1334,Hyderabad,Paris,DHL,2026-05-07,2026-05-17,2026-05-17,Delivered,Normal,0,On schedule,Sea,Machinery,1437.17,850,Clear,Cleared,Low,88.7,None,NONE
SHP-1335,Chennai,Paris,FedEx,2026-03-03,2026-03-10,2026-03-11,Exception,High,35,Damaged cargo,Air,Textiles,3351.61,6942,Extreme Heat,Cleared,Medium,80.2,High,DAMAGED_CARGO
SHP-1336,Mumbai,Singapore,DHL,2026-08-01,2026-08-03,2026-08-03,Delayed,Normal,13,Documentation issue,Road,Machinery,1312.93,6970,Extreme Heat,Cleared,Medium,76.8,Low,MINOR_DELAY
SHP-1337,Delhi,Amsterdam,Maersk,2026-07-25,2026-08-04,2026-08-04,Delivered,Normal,0,On schedule,Road,Electronics,4067.61,9719,Clear,Cleared,Low,65.8,None,NONE
SHP-1338,Ahmedabad,Tokyo,UPS,2026-03-04,2026-03-06,2026-03-09,Exception,High,82,Damaged cargo,Rail,Chemicals,2415.03,4524,Fog,Cleared,Medium,57.9,High,DAMAGED_CARGO
SHP-1339,Chennai,Frankfurt,Maersk,2026-05-13,2026-05-16,2026-05-18,Delayed,Normal,57,Carrier delay,Rail,Textiles,2777.21,3224,Storm,Cleared,High,75.5,High,DELIVERY_DELAY
SHP-1340,Kolkata,Frankfurt,UPS,2026-07-11,2026-07-17,2026-07-20,Delayed,High,73,Carrier delay,Road,Pharmaceuticals,1041.83,3622,Rain,Cleared,Low,90.9,Medium,CARRIER_DELAY
SHP-1341,Kolkata,London,DHL,2026-06-23,2026-06-25,2026-06-25,Delivered,Critical,0,On schedule,Air,Electronics,3823.58,9171,Clear,Cleared,Low,96.2,None,NONE
SHP-1342,Ahmedabad,Toronto,UPS,2026-05-28,2026-06-07,2026-06-07,Delivered,High,0,On schedule,Road,Automotive,1408.53,3938,Clear,Cleared,Low,87.3,None,NONE
SHP-1343,Bengaluru,Dubai,UPS,2026-05-19,2026-05-23,2026-05-23,Delivered,Low,0,On schedule,Rail,Automotive,2291.41,2272,Clear,Cleared,Low,85.0,None,NONE
SHP-1344,Ahmedabad,Toronto,Carrier-X,2026-06-22,2026-06-28,2026-06-28,Delayed,Normal,12,Documentation issue,Air,Electronics,2362.01,10344,Rain,Cleared,Medium,69.8,Medium,MINOR_DELAY
SHP-1345,Bengaluru,Sydney,BlueDart,2026-06-29,2026-07-07,2026-07-07,Delivered,High,0,On schedule,Sea,Automotive,1405.35,3247,Clear,Cleared,Low,79.6,None,NONE
SHP-1346,Chennai,Singapore,Carrier-X,2026-03-02,2026-03-04,2026-03-04,Delayed,Normal,20,Weather disruption,Road,Chemicals,891.27,8485,Extreme Heat,Cleared,Low,60.8,Medium,WEATHER_DISRUPTION
SHP-1347,Kolkata,Sydney,Maersk,2026-08-08,2026-08-12,2026-08-12,Delivered,Normal,0,On schedule,Road,Food,309.58,13633,Clear,Cleared,Low,65.9,None,NONE
SHP-1348,Delhi,Sydney,Carrier-X,2026-04-03,2026-04-08,2026-04-08,Delayed,Normal,10,Documentation issue,Road,Textiles,2888.5,10947,Storm,Under Review,Low,82.9,Low,MINOR_DELAY
SHP-1349,Bengaluru,New York,Maersk,2026-05-11,2026-05-18,2026-05-19,Delayed,Normal,34,Mechanical issue,Road,Machinery,2114.86,10332,Rain,Under Review,Medium,79.6,High,DELIVERY_DELAY
SHP-1350,Delhi,Singapore,FedEx,2026-03-22,2026-03-28,2026-03-28,Delivered,Normal,0,On schedule,Road,Pharmaceuticals,3030.87,6779,Clear,Cleared,Low,66.7,None,NONE
SHP-1351,Ahmedabad,Toronto,Carrier-X,2026-02-12,2026-02-17,2026-02-17,Delivered,Normal,0,On schedule,Rail,Automotive,3313.49,12487,Clear,Cleared,Low,85.1,None,NONE
SHP-1352,Delhi,Frankfurt,FedEx,2026-01-25,2026-02-04,2026-02-07,Delayed,Low,80,Carrier delay,Rail,Electronics,3827.33,1663,Extreme Heat,Cleared,Low,59.5,Medium,CARRIER_DELAY
SHP-1353,Bengaluru,Singapore,Carrier-X,2026-02-28,2026-03-04,2026-03-04,Delivered,Normal,0,On schedule,Rail,Textiles,665.07,14038,Clear,Cleared,Low,62.3,None,NONE
SHP-1354,Mumbai,Toronto,Maersk,2026-05-19,2026-05-29,2026-05-29,Delayed,Critical,6,Weather disruption,Rail,Automotive,1555.21,5988,Fog,Under Review,Medium,75.7,Low,MINOR_DELAY
SHP-1355,Chennai,Singapore,BlueDart,2026-04-16,2026-04-18,2026-04-18,Delivered,Normal,0,On schedule,Road,Textiles,2621.35,12723,Clear,Cleared,Low,91.5,None,NONE
SHP-1356,Kolkata,New York,BlueDart,2026-05-06,2026-05-08,2026-05-08,Delivered,Critical,0,On schedule,Air,Machinery,3831.69,13373,Clear,Cleared,Low,67.6,None,NONE
SHP-1357,Chennai,Dubai,UPS,2026-04-16,2026-04-21,2026-04-21,Delivered,High,0,On schedule,Road,Pharmaceuticals,824.71,12376,Clear,Cleared,Low,82.8,None,NONE
SHP-1358,Pune,Frankfurt,Maersk,2026-06-10,2026-06-16,2026-06-18,Delayed,Normal,70,Customs clearance,Air,Automotive,2070.39,14283,Fog,Pending,Medium,57.9,High,CUSTOMS_DELAY
SHP-1359,Bengaluru,New York,DHL,2026-04-26,2026-04-28,2026-04-28,Delayed,Normal,8,Documentation issue,Rail,Food,937.83,1975,Fog,Cleared,Low,67.1,Low,MINOR_DELAY
SHP-1360,Bengaluru,Sydney,Carrier-X,2026-01-24,2026-01-31,2026-01-31,Delivered,Normal,0,On schedule,Air,Pharmaceuticals,2107.01,13173,Clear,Cleared,Low,89.4,None,NONE
SHP-1361,Kolkata,Sydney,Carrier-X,2026-01-21,2026-01-31,2026-01-31,Delayed,High,19,Port congestion,Air,Textiles,2356.03,3448,Clear,Under Review,High,93.5,High,PORT_CONGESTION
SHP-1362,Hyderabad,Tokyo,DHL,2026-07-02,2026-07-07,2026-07-08,Delayed,Normal,40,Customs clearance,Air,Chemicals,2309.56,12931,Clear,Pending,High,59.0,Medium,CUSTOMS_DELAY
SHP-1363,Chennai,Sydney,BlueDart,2026-02-10,2026-02-20,2026-02-20,Delivered,Normal,0,On schedule,Road,Textiles,2609.42,4450,Clear,Cleared,Low,75.7,None,NONE
SHP-1364,Hyderabad,Frankfurt,Maersk,2026-06-20,2026-06-28,2026-06-28,Delivered,Normal,0,On schedule,Air,Chemicals,1629.32,3042,Clear,Cleared,Low,89.2,None,NONE
SHP-1365,Delhi,Tokyo,FedEx,2026-05-29,2026-06-02,2026-06-02,Delivered,High,0,On schedule,Air,Electronics,1863.28,1766,Clear,Cleared,Low,65.7,None,NONE
SHP-1366,Ahmedabad,Singapore,Carrier-X,2026-06-10,2026-06-14,2026-06-14,Delivered,Low,0,On schedule,Road,Chemicals,3509.63,13267,Clear,Cleared,Low,59.6,None,NONE
SHP-1367,Ahmedabad,Frankfurt,Maersk,2026-04-23,2026-05-01,2026-05-01,Delivered,High,0,On schedule,Road,Chemicals,1797.26,2507,Clear,Cleared,Low,65.8,None,NONE
SHP-1368,Mumbai,Sydney,Carrier-X,2026-03-17,2026-03-21,2026-03-21,Delivered,Normal,0,On schedule,Rail,Food,2722.67,5603,Clear,Cleared,Low,86.5,None,NONE
SHP-1369,Hyderabad,Paris,UPS,2026-05-16,2026-05-22,2026-05-22,Delivered,Normal,0,On schedule,Sea,Electronics,2712.61,7739,Clear,Cleared,Low,55.0,None,NONE
SHP-1370,Pune,London,DHL,2026-06-08,2026-06-14,2026-06-17,Delayed,Normal,92,Mechanical issue,Road,Chemicals,1619.77,10800,Fog,Under Review,Medium,68.8,Medium,DELIVERY_DELAY
SHP-1371,Delhi,Amsterdam,Carrier-X,2026-08-02,2026-08-04,2026-08-04,Delivered,Critical,0,On schedule,Air,Electronics,1018.37,8252,Clear,Cleared,Low,63.2,None,NONE
SHP-1372,Mumbai,Paris,Carrier-X,2026-05-06,2026-05-11,2026-05-13,Delayed,Normal,56,Carrier delay,Rail,Machinery,3282.19,14877,Clear,Cleared,Medium,90.8,High,DELIVERY_DELAY
SHP-1373,Ahmedabad,Dubai,Maersk,2026-04-05,2026-04-11,2026-04-11,Delivered,High,0,On schedule,Rail,Chemicals,2649.81,12330,Clear,Cleared,Low,58.0,None,NONE
SHP-1374,Hyderabad,Singapore,FedEx,2026-07-05,2026-07-10,2026-07-10,Delivered,Normal,0,On schedule,Air,Electronics,2635.7,4375,Clear,Cleared,Low,79.5,None,NONE
SHP-1375,Bengaluru,Amsterdam,Carrier-X,2026-01-28,2026-02-07,2026-02-07,Delayed,High,23,Documentation issue,Rail,Machinery,2013.77,5829,Rain,Cleared,Low,83.3,Medium,MINOR_DELAY
SHP-1376,Ahmedabad,Toronto,Maersk,2026-04-06,2026-04-12,2026-04-12,Delayed,Normal,12,Weather disruption,Road,Chemicals,1806.44,7712,Fog,Cleared,Medium,74.2,Low,MINOR_DELAY
SHP-1377,Pune,Dubai,Carrier-X,2026-06-02,2026-06-08,2026-06-08,Delivered,Low,0,On schedule,Air,Textiles,42.78,3935,Clear,Cleared,Low,64.2,None,NONE
SHP-1378,Kolkata,Dubai,Carrier-X,2026-05-11,2026-05-18,2026-05-19,Delayed,Normal,31,Port congestion,Road,Food,788.97,4641,Extreme Heat,Cleared,High,70.8,Medium,PORT_CONGESTION
SHP-1379,Chennai,Frankfurt,Maersk,2026-05-27,2026-06-05,2026-06-05,Delayed,Normal,19,Carrier delay,Road,Electronics,4130.27,11598,Rain,Cleared,Medium,85.2,High,CARRIER_DELAY
SHP-1380,Delhi,Paris,Carrier-X,2026-07-07,2026-07-09,2026-07-09,Delivered,High,0,On schedule,Road,Electronics,4610.14,5778,Clear,Cleared,Low,70.0,None,NONE
SHP-1381,Pune,Tokyo,DHL,2026-06-17,2026-06-27,2026-06-30,Delayed,High,93,Port congestion,Sea,Machinery,215.5,9146,Storm,Cleared,High,79.3,High,PORT_CONGESTION
SHP-1382,Kolkata,Amsterdam,Carrier-X,2026-01-13,2026-01-19,2026-01-22,Exception,High,81,Missorted shipment,Sea,Pharmaceuticals,3933.98,2725,Extreme Heat,Cleared,Low,60.7,High,MISROUTED_SHIPMENT
SHP-1383,Delhi,Sydney,UPS,2026-04-13,2026-04-21,2026-04-21,Delivered,Normal,0,On schedule,Air,Food,3871.39,2436,Clear,Cleared,Low,87.8,None,NONE
SHP-1384,Ahmedabad,Amsterdam,FedEx,2026-06-16,2026-06-23,2026-06-23,Delayed,Normal,18,Carrier delay,Rail,Automotive,3426.84,9737,Extreme Heat,Cleared,Medium,58.9,Low,MINOR_DELAY
SHP-1385,Pune,Tokyo,Maersk,2026-03-24,2026-03-26,2026-03-26,Delayed,Normal,11,Carrier delay,Road,Pharmaceuticals,4621.82,4125,Extreme Heat,Under Review,Low,63.6,Medium,MINOR_DELAY
SHP-1386,Kolkata,London,Carrier-X,2026-07-09,2026-07-12,2026-07-13,Delayed,Low,30,Port congestion,Air,Electronics,1532.54,8019,Storm,Cleared,High,56.0,High,PORT_CONGESTION
SHP-1387,Chennai,Amsterdam,FedEx,2026-05-14,2026-05-24,2026-05-24,Delayed,High,21,Weather disruption,Sea,Food,226.98,3090,Fog,Cleared,Medium,57.6,Low,MINOR_DELAY
SHP-1388,Chennai,Paris,Maersk,2026-06-17,2026-06-23,2026-06-23,Delivered,Critical,0,On schedule,Air,Automotive,3318.28,11115,Clear,Cleared,Low,70.5,None,NONE
SHP-1389,Delhi,Dubai,Maersk,2026-04-08,2026-04-17,2026-04-19,Delayed,Normal,64,Mechanical issue,Rail,Pharmaceuticals,2807.83,11973,Fog,Cleared,Medium,55.9,Medium,DELIVERY_DELAY
SHP-1390,Chennai,Amsterdam,Maersk,2026-04-11,2026-04-18,2026-04-18,Delivered,High,0,On schedule,Road,Automotive,1783.34,5253,Clear,Cleared,Low,65.2,None,NONE
SHP-1391,Hyderabad,Dubai,Carrier-X,2026-07-28,2026-08-05,2026-08-06,Delayed,Critical,47,Port congestion,Road,Automotive,3288.09,1738,Storm,Cleared,High,86.4,Medium,PORT_CONGESTION
SHP-1392,Chennai,Tokyo,FedEx,2026-03-21,2026-03-31,2026-03-31,Delivered,High,0,On schedule,Sea,Automotive,667.54,10990,Clear,Cleared,Low,61.0,None,NONE
SHP-1393,Chennai,London,Maersk,2026-07-17,2026-07-27,2026-07-28,Delayed,Normal,32,Port congestion,Sea,Automotive,4743.52,2239,Fog,Cleared,High,62.9,High,PORT_CONGESTION
SHP-1394,Bengaluru,Dubai,Maersk,2026-03-19,2026-03-22,2026-03-25,Delayed,Normal,93,Port congestion,Rail,Automotive,666.41,729,Rain,Cleared,High,87.8,High,PORT_CONGESTION
SHP-1395,Hyderabad,Paris,UPS,2026-03-01,2026-03-04,2026-03-04,Delivered,Normal,0,On schedule,Sea,Food,3443.83,8108,Clear,Cleared,Low,60.8,None,NONE
SHP-1396,Ahmedabad,Toronto,FedEx,2026-05-02,2026-05-04,2026-05-04,Delivered,Normal,0,On schedule,Rail,Automotive,2048.86,545,Clear,Cleared,Low,94.8,None,NONE
SHP-1397,Pune,Frankfurt,Carrier-X,2026-02-22,2026-02-27,2026-03-01,Delayed,Low,68,Port congestion,Sea,Chemicals,2143.5,13017,Extreme Heat,Under Review,High,56.8,High,PORT_CONGESTION
SHP-1398,Pune,Toronto,BlueDart,2026-01-28,2026-01-30,2026-01-30,Delayed,Normal,10,Weather disruption,Air,Food,2792.93,8756,Fog,Cleared,Medium,87.9,Medium,WEATHER_DISRUPTION
SHP-1399,Mumbai,Frankfurt,Maersk,2026-03-19,2026-03-23,2026-03-23,Delivered,High,0,On schedule,Rail,Automotive,2118.09,10345,Clear,Cleared,Low,94.5,None,NONE
SHP-1400,Bengaluru,Sydney,Carrier-X,2026-07-04,2026-07-14,2026-07-14,Delivered,Normal,0,On schedule,Rail,Electronics,685.18,7075,Clear,Cleared,Low,68.9,None,NONE
SHP-1401,Mumbai,London,BlueDart,2026-01-24,2026-01-31,2026-02-01,Delayed,Normal,44,Documentation issue,Sea,Automotive,435.68,11888,Extreme Heat,Cleared,Medium,71.5,Medium,DELIVERY_DELAY
SHP-1402,Bengaluru,Tokyo,UPS,2026-07-16,2026-07-20,2026-07-20,Delivered,Normal,0,On schedule,Rail,Electronics,819.0,2669,Clear,Cleared,Low,62.7,None,NONE
SHP-1403,Mumbai,Tokyo,Maersk,2026-07-16,2026-07-20,2026-07-20,Delivered,Critical,0,On schedule,Road,Machinery,596.59,2455,Clear,Cleared,Low,96.3,None,NONE
SHP-1404,Mumbai,Paris,Maersk,2026-05-08,2026-05-17,2026-05-17,Delayed,High,2,Weather disruption,Air,Automotive,2274.16,7539,Fog,Cleared,Low,58.4,Medium,MINOR_DELAY
SHP-1405,Mumbai,Frankfurt,UPS,2026-06-10,2026-06-17,2026-06-17,Delayed,Normal,11,Weather disruption,Road,Food,193.24,14289,Storm,Cleared,Low,56.4,Medium,WEATHER_DISRUPTION
SHP-1406,Hyderabad,Toronto,DHL,2026-04-17,2026-04-23,2026-04-23,Delivered,Critical,0,On schedule,Air,Electronics,3059.34,11629,Clear,Cleared,Low,85.1,None,NONE
SHP-1407,Bengaluru,Sydney,Carrier-X,2026-01-24,2026-02-01,2026-02-01,Delivered,High,0,On schedule,Road,Electronics,4103.12,12726,Clear,Cleared,Low,73.4,None,NONE
SHP-1408,Delhi,New York,BlueDart,2026-06-27,2026-07-05,2026-07-05,Delivered,High,0,On schedule,Sea,Electronics,2627.98,11700,Clear,Cleared,Low,64.0,None,NONE
SHP-1409,Mumbai,Singapore,UPS,2026-07-05,2026-07-15,2026-07-17,Delayed,High,48,Port congestion,Air,Automotive,2879.96,10511,Storm,Under Review,High,70.2,High,PORT_CONGESTION
SHP-1410,Bengaluru,Paris,UPS,2026-07-06,2026-07-10,2026-07-10,Delivered,Normal,0,On schedule,Rail,Food,4419.48,4112,Clear,Cleared,Low,85.5,None,NONE
SHP-1411,Chennai,Dubai,DHL,2026-06-10,2026-06-17,2026-06-19,Delayed,High,50,Documentation issue,Air,Automotive,2806.47,10744,Storm,Under Review,Medium,64.1,High,DELIVERY_DELAY
SHP-1412,Chennai,New York,Maersk,2026-03-18,2026-03-20,2026-03-20,Delivered,Normal,0,On schedule,Air,Textiles,578.05,5760,Clear,Cleared,Low,69.7,None,NONE
SHP-1413,Mumbai,London,FedEx,2026-03-28,2026-04-06,2026-04-06,Delivered,High,0,On schedule,Road,Chemicals,3988.3,10878,Clear,Cleared,Low,60.8,None,NONE
SHP-1414,Bengaluru,Sydney,UPS,2026-07-20,2026-07-30,2026-07-30,Delayed,High,19,Port congestion,Road,Automotive,103.4,9760,Fog,Under Review,High,84.5,High,PORT_CONGESTION
SHP-1415,Kolkata,Singapore,FedEx,2026-01-08,2026-01-18,2026-01-18,Delivered,Normal,0,On schedule,Road,Chemicals,4213.6,9654,Clear,Cleared,Low,81.0,None,NONE
SHP-1416,Bengaluru,Paris,DHL,2026-08-08,2026-08-16,2026-08-16,Delivered,Normal,0,On schedule,Road,Machinery,443.12,14669,Clear,Cleared,Low,65.2,None,NONE
SHP-1417,Ahmedabad,New York,FedEx,2026-01-29,2026-02-03,2026-02-03,Delivered,Normal,0,On schedule,Road,Pharmaceuticals,4567.64,7570,Clear,Cleared,Low,76.8,None,NONE
SHP-1418,Ahmedabad,Amsterdam,FedEx,2026-05-04,2026-05-13,2026-05-13,Delayed,High,12,Carrier delay,Sea,Textiles,1944.07,14469,Clear,Cleared,Low,77.5,Low,MINOR_DELAY
SHP-1419,Mumbai,New York,DHL,2026-04-30,2026-05-06,2026-05-06,Delivered,High,0,On schedule,Air,Textiles,122.18,12727,Clear,Cleared,Low,68.4,None,NONE
SHP-1420,Chennai,Toronto,FedEx,2026-03-12,2026-03-16,2026-03-18,Delayed,Normal,54,Customs clearance,Sea,Textiles,1375.45,549,Rain,Pending,Medium,96.2,Medium,CUSTOMS_DELAY
SHP-1421,Delhi,Frankfurt,UPS,2026-03-23,2026-03-29,2026-03-31,Delayed,Normal,48,Port congestion,Road,Food,3070.18,5849,Clear,Cleared,High,78.2,Medium,PORT_CONGESTION
SHP-1422,Mumbai,London,DHL,2026-01-13,2026-01-21,2026-01-21,Delivered,Normal,0,On schedule,Rail,Machinery,1965.66,11845,Clear,Cleared,Low,80.6,None,NONE
SHP-1423,Ahmedabad,Paris,Maersk,2026-07-29,2026-08-02,2026-08-04,Delayed,Normal,63,Customs clearance,Road,Textiles,473.65,13445,Fog,Pending,Medium,94.5,Medium,CUSTOMS_DELAY
SHP-1424,Ahmedabad,Singapore,BlueDart,2026-06-14,2026-06-19,2026-06-19,Delivered,High,0,On schedule,Road,Machinery,4737.77,2654,Clear,Cleared,Low,92.0,None,NONE
SHP-1425,Hyderabad,Toronto,BlueDart,2026-06-20,2026-06-23,2026-06-24,Delayed,Normal,28,Weather disruption,Sea,Machinery,2381.92,6058,Storm,Cleared,Medium,75.6,High,WEATHER_DISRUPTION
SHP-1426,Bengaluru,New York,Maersk,2026-01-27,2026-02-04,2026-02-05,Delayed,Normal,37,Mechanical issue,Sea,Food,1200.49,4292,Extreme Heat,Under Review,High,78.6,Medium,DELIVERY_DELAY
SHP-1427,Ahmedabad,Tokyo,DHL,2026-07-28,2026-08-05,2026-08-05,Delivered,High,0,On schedule,Road,Pharmaceuticals,2840.38,5906,Clear,Cleared,Low,78.4,None,NONE
SHP-1428,Chennai,London,Carrier-X,2026-07-02,2026-07-11,2026-07-11,Delivered,Normal,0,On schedule,Air,Machinery,1633.64,1899,Clear,Cleared,Low,90.3,None,NONE
SHP-1429,Bengaluru,New York,BlueDart,2026-01-28,2026-02-01,2026-02-01,Delayed,High,14,Documentation issue,Air,Food,4437.44,12669,Rain,Cleared,Low,82.4,Medium,MINOR_DELAY
SHP-1430,Mumbai,London,Carrier-X,2026-05-17,2026-05-23,2026-05-23,Delayed,Normal,16,Carrier delay,Sea,Automotive,4593.32,7422,Fog,Under Review,Medium,85.9,Low,MINOR_DELAY
